Ticker,Optimal Alpha,Train R² (%),Test R² (%),Test RMSE,Test MAE,Features Selected,Overfitting Gap (%)
AAPL,9.10e-04,0.8725373494599,1.07286365219421,0.0325203310307896,0.0237373468260485,2/21,-0.20032630273430999
NVDA,5.18e-04,0.55251060868861,0.89274898940929,0.0546064269015203,0.0407695647550444,8/21,-0.3402383807206801
JPM,1.21e-03,1.23695935044688,0.5531654359309299,0.0307768802411764,0.0215514971237462,6/21,0.6837939145159501
BAC,3.73e-03,0.29332330763762,0.12747208322017,0.0351131476570947,0.0249466547773127,1/21,0.16585122441745
PG,3.91e-04,0.36563071003982,0.37068208048768997,0.020435579441988,0.0144682115512889,3/21,-0.005051370447870006
KO,5.18e-04,0.23999693331490002,0.21352576882817,0.0210259125860855,0.0143259926001193,4/21,0.026471164486730012
JNJ,3.91e-04,0.7806796910642401,0.34552840536822,0.0201005428711617,0.0145641121388719,6/21,0.4351512856960201
Average,-,0.6202339929502815,0.5108552022055257,0.030654117247116603,0.022051911396061698,4.3/21,0.10937879074475576
