Ticker,Buy & Hold,Best Biased,Walk-Forward,ML (Lasso),ML Rank
AAPL,0.6498704771886846,0.8643932374003424,0.7933843956609254,0.9390609623388292,1
NVDA,0.5904802912295852,0.8123019398378487,0.921420615869038,1.1415066742730786,1
JPM,0.2868044257018111,0.3076329330642962,0.1380209895920094,0.5430587393818505,1
BAC,0.1337696344611283,0.2269231913621314,0.0965537370372257,0.31911422906846426,1
PG,0.331365570143951,0.4030784981050328,0.3524885905227454,0.6951882285715081,1
KO,0.3167132232044091,0.1528205683749269,0.0140367330897795,0.17868501233581613,1
JNJ,0.439121968579801,0.2376381786246715,0.1399327143505853,0.35828588399043204,1
Average,0.3925893700727672,0.42925550668132134,0.3508339680174727,0.5964142471371398,1st
