Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,MA_100,MA_200,Signal_5_20_short,Signal_10_50_medium,Signal_20_100_long,Signal_50_200_vlong,Combined_Signal,Buy
2000-01-03,27.181795136921608,27.21331026171804,26.646038015382285,27.024219512939453,4275000,,,,,,,,,,,NANANANA,
2000-01-04,26.819366432398592,27.323608339470713,26.157548929366428,26.504215240478516,4270800,,,,,,,,,,,NANANANA,
2000-01-05,26.441183025475706,26.567243492820044,25.842395805590076,25.999971389770508,5098400,,,,,,,,,,,NANANANA,
2000-01-06,26.504215289101538,27.59148690322045,26.488457729476625,27.197547912597656,6524200,,,,,,,,,,,NANANANA,
2000-01-07,27.62300395965576,29.49815368652344,27.52845859527588,29.372093200683594,9832000,27.219609451293945,,,,,,,,,,NANANANA,
2000-01-10,29.19875145883894,29.576932805310683,28.83632766847019,29.23026657104492,6862000,27.66081886291504,,,,,,,,,,NANANANA,
2000-01-11,29.088449632033168,29.687236785888672,28.85208628182705,29.687236785888672,4421800,28.29742317199707,,,,,,,,,,NANANANA,
2000-01-12,29.403608322143555,29.844820022583008,29.27754783630371,29.49815368652344,6231600,28.997059631347657,,,,,,,,,,NANANANA,
2000-01-13,29.466642441956893,29.49815756756326,28.883612618239027,28.993915557861328,5285200,29.35633316040039,,,,,,,,,,NANANANA,
2000-01-14,29.119972229003903,29.49815368652344,29.088457107543945,29.49815368652344,4904400,29.38154525756836,28.30057735443115,,,,,,,,,NANANANA,
2000-01-18,29.48239517211914,29.750273695863676,29.261789329035405,29.48239517211914,4456800,29.4319709777832,28.546394920349123,,,,,,,,,NANANANA,
2000-01-19,28.82065824465271,29.32628382789223,28.710052648319063,29.168275833129883,5553400,29.328178787231444,28.81280097961426,,,,,,,,,NANANANA,
2000-01-20,28.82065559823536,28.883858790336753,27.208974199649827,28.457237243652344,10231800,29.119995498657225,29.058527565002443,,,,,,,,,NANANANA,
2000-01-21,28.47303107477003,28.47303107477003,25.154864301350663,25.960704803466797,24378800,28.51335334777832,28.934843254089355,,,,,,,,,NANANANA,
2000-01-24,24.27001953125,27.524983088175453,23.969804445902504,26.07131004333496,28554600,27.827984619140626,28.604764938354492,,,,,,,,,NANANANA,
2000-01-25,26.19771639506022,26.213517189025875,24.52283223470052,24.64923858642578,17097800,26.86135330200195,28.146662139892577,,,,,,,,,NANANANA,
2000-01-26,25.028473905006553,25.486697227762352,24.981071492307677,25.439294815063477,10243200,26.11555709838867,27.721867942810057,,,,,,,,,NANANANA,
2000-01-27,25.786907903997747,26.403139159056515,25.58149748564482,26.308334350585938,8989000,25.68577651977539,27.40288600921631,,,,,,,,,NANANANA,
2000-01-28,26.213530003913096,26.213530003913096,25.12327468729465,25.360286712646484,9583400,25.565692901611328,27.039523124694824,,,,,,,,,NANANANA,
2000-01-31,25.344472574907535,25.565683682169823,24.87044877363121,25.549882888793945,4518200,25.46140747070313,26.644696044921876,27.472636699676514,,,,0,,,,0NANANA,
2000-02-01,25.455078435303577,25.502480816002468,24.96525383474839,25.154863357543945,4044200,25.56253242492676,26.211942863464355,27.379168891906737,,,,0,,,,0NANANA,
2000-02-02,25.21806716918945,25.28127034505208,24.85464890797933,24.933652877807617,3920800,25.461404037475585,25.78848056793213,27.300640773773193,,,,0,,,,0NANANA,
2000-02-03,25.233870233895303,25.233870233895303,24.44383046451849,24.72824478149414,6259600,25.145386123657225,25.41558132171631,27.237054443359376,,,,0,,,,0NANANA,
2000-02-04,24.68084082943154,24.696641623816575,23.764394755099257,23.954004287719727,7647800,24.864129638671876,25.2149112701416,27.07487726211548,,,,0,,,,0NANANA,
2000-02-07,23.764396687934607,23.96980703164681,23.400978387520716,23.574787139892575,6464400,24.4691104888916,24.96525897979736,26.785011959075927,,,,0,,,,0NANANA,
2000-02-08,23.764404735116983,24.23842876573767,23.464189515723884,24.20682716369629,6787800,24.27950325012207,24.921017837524413,26.533839988708497,,,,0,,,,0NANANA,
2000-02-09,24.080420311461104,24.238428318754156,23.701201093957778,23.764404296875,6255800,24.045653533935543,24.75352878570557,26.237698364257813,,,,0,,,,0NANANA,
2000-02-10,23.701203007935987,23.93821503801535,22.76895568962384,23.11657333374023,5267800,23.723319244384765,24.434352684020997,25.91861934661865,,,,0,,,,0NANANA,
2000-02-11,23.08496369934082,23.74859715270996,23.08496369934082,23.701194763183594,5335000,23.67275733947754,24.268443489074706,25.653983306884765,,,,0,,,,0NANANA,
2000-02-14,23.68539598945047,23.71699758516688,23.00596168154762,23.2271728515625,5252200,23.603234481811523,24.036172485351564,25.34043426513672,,,,0,,,,0NANANA,
2000-02-15,23.38518551062044,24.22262796471698,23.2903807044963,24.20682716369629,6864000,23.603234481811523,23.9413688659668,25.076655864715576,,,,0,,,,0NANANA,
2000-02-16,24.222617554177397,24.33322311378551,23.51158181383951,23.7762451171875,5314600,23.605602645874026,23.825628089904782,24.807054328918458,,,,0,,,,0NANANA,
2000-02-17,23.764412842606895,24.01722574518782,23.51159994002597,23.81181526184082,4682400,23.74465103149414,23.733985137939452,24.57478322982788,,,,0,,,,0NANANA,
2000-02-18,23.71699421063262,23.87500216673277,23.258771137942183,23.67354202270508,4651600,23.73912048339844,23.70593891143799,24.46042509078979,,,,0,,,,0NANANA,
2000-02-22,23.33777331920845,23.622187618291555,22.768944721042228,23.47998046875,5226800,23.78968200683594,23.69645824432373,24.330858612060545,,,,0,,,,0NANANA,
2000-02-23,23.479984393941944,23.479984393941944,22.78474932440396,22.911155700683594,5357000,23.5305477142334,23.56689109802246,24.24395446777344,,,,0,,,,0NANANA,
2000-02-24,22.84796755192643,22.974374011411506,21.884118298352774,22.373943328857425,7223200,23.250087356567384,23.427845001220703,24.090686893463136,,,,0,,,,0NANANA,
2000-02-25,22.43713538552171,22.500338583790786,21.520689010620117,21.520689010620117,7177200,22.791862106323244,23.26825656890869,23.851304626464845,,,,0,,,,0NANANA,
2000-02-28,21.694485176064845,22.753138130759925,21.489074901273263,22.34231758117676,7081600,22.52561721801758,23.13236885070801,23.70040616989136,,,,0,,,,0NANANA,
2000-02-29,22.626751852239007,22.72155667843554,22.057922895059814,22.215930938720703,6661800,22.27280731201172,23.031244659423827,23.533708572387695,,,,0,,,,0NANANA,
2000-03-01,22.247521073554797,22.421329831941943,21.963106741648556,22.31072425842285,4153600,22.15272102355957,22.84163436889649,23.39150161743164,,,,0,,,,0NANANA,
