CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity,Strategy,Period,Train_Start,Train_End,Test_Start,Test_End,Train_Sharpe
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,All 4 signals,14,2006-07-11,2008-07-10,2008-07-11,2009-01-08,0.03303822741288635
-0.14552860788494149,0.07325701745413475,-1.9865483600401153,-0.0800538941214144,3,4.0,0.9243762178437189,All 4 signals,15,2007-01-10,2009-01-08,2009-01-09,2009-07-10,0.01125863890787169
0.32219742007019136,0.28344599745791926,1.1367153636312157,-0.11429201353981941,4,75.0,1.1498684359830873,"Medium-term only (10,50)",16,2007-07-12,2009-07-10,2009-07-13,2010-01-08,-0.15603937608712395
-0.27232672596055907,0.18929636831757865,-1.4386262577614912,-0.14939582281813746,5,51.0,0.85303767445491,"Medium-term only (10,50)",17,2008-01-10,2010-01-08,2010-01-11,2010-07-12,0.12558934212536238
-0.18064262052395508,0.20379790590029082,-0.8863811417784412,-0.22789391829017538,8,81.0,0.9051836164425674,"Medium-term only (10,50)",18,2008-07-11,2010-07-12,2010-07-13,2011-01-07,0.14167649452725467
-0.024633391801826332,0.18064194999353478,-0.1363658430542184,-0.10831630360518445,5,89.0,0.9876065047366657,Original (>=2 signals),19,2009-01-09,2011-01-07,2011-01-10,2011-07-11,0.23361544962019118
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,All 4 signals,20,2009-07-13,2011-07-11,2011-07-12,2012-01-09,0.22193006578099406
0.2684179463376408,0.1467100617714552,1.8295810327977506,-0.0663938716696667,3,31.0,1.1262406254160968,All 4 signals,21,2010-01-11,2012-01-09,2012-01-10,2012-07-10,0.06672487672773192
0.1207498902937334,0.1316811813567661,0.916986687464351,-0.09460341936327482,6,46.0,1.058654755004545,All 4 signals,22,2010-07-13,2012-07-10,2012-07-11,2013-01-10,0.560968457813782
0.18333228399938695,0.18619199475761156,0.9846410649289866,-0.13420339735912978,8,112.0,1.0878107758242639,>=3 of 4 signals,23,2011-01-10,2013-01-10,2013-01-11,2013-07-12,1.118924769915906
-0.0004172947693510398,0.11082778268274884,-0.003765254156041099,-0.11292407642586794,6,74.0,0.9997913308439161,>=3 of 4 signals,24,2011-07-12,2013-07-12,2013-07-15,2014-01-10,1.3735149329016003
-0.23685995285106987,0.13911661453114688,-1.7026000355840976,-0.16201963256462,8,72.0,0.8735788728837999,"Medium-term only (10,50)",25,2012-01-10,2014-01-10,2014-01-13,2014-07-14,1.8019050064828195
0.04226547777246892,0.1861343839990765,0.22706969483230255,-0.10025791987137295,2,125.0,1.0209140403444694,Short OR Long,26,2012-07-11,2014-07-14,2014-07-15,2015-01-12,1.2292700210863572
0.4076673505139925,0.18940926635363517,2.152309432173504,-0.07675579607599378,2,125.0,1.1864515795067208,"Long-term only (50,200)",27,2013-01-11,2015-01-12,2015-01-13,2015-07-14,0.8481462574757251
-0.3759809406899294,0.23292161811511614,-1.6141951259505225,-0.2202483169250882,4,97.0,0.789948770054154,"Long-term only (50,200)",28,2013-07-15,2015-07-14,2015-07-15,2016-01-12,0.8135711134129747
