CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity,Strategy,Period,Train_Start,Train_End,Test_Start,Test_End,Train_Sharpe
0.3197970431844115,0.2626025308224957,1.217798785802929,-0.11575569270311213,2,125.0,1.14882420029542,"Long-term only (50,200)",1,2000-01-03,2002-01-07,2002-01-08,2002-07-09,0.37850882885613446
-0.16002690145092624,0.25767945402240905,-0.6210308930451611,-0.16269020363673195,8,95.0,0.9165004629290013,Short OR Long,2,2000-07-03,2002-07-09,2002-07-10,2003-01-07,0.8324796283391123
0.36936474410497167,0.1905856170006186,1.9380515167824695,-0.08591233159275218,2,125.0,1.1701985917377322,"Long-term only (50,200)",3,2001-01-02,2003-01-07,2003-01-08,2003-07-09,0.7649247852693831
-0.20186404288472215,0.18148713135078684,-1.1122774456914515,-0.15199737620567466,6,61.0,0.8933845516435114,"Medium-term only (10,50)",4,2001-07-03,2003-07-09,2003-07-10,2004-01-07,0.7553812993838229
-0.12320788870629373,0.10546164128440881,-1.1682720580274952,-0.08440481452366867,15,73.0,0.9363717804877004,All 4 signals,5,2002-01-08,2004-01-07,2004-01-08,2004-07-09,0.5969121477194607
0.17734925228034637,0.13189790945300858,1.3445948689848704,-0.041950755017102194,2,125.0,1.0850572576045683,"Long-term only (50,200)",6,2002-07-10,2004-07-09,2004-07-12,2005-01-06,0.5165781363339839
0.054901982225696866,0.12922893007703404,0.42484281339301894,-0.06669517806038609,2,125.0,1.0270842137944176,"Long-term only (50,200)",7,2003-01-08,2005-01-06,2005-01-07,2005-07-08,1.0112348530850754
-0.03783603525120871,0.07040262666087341,-0.5374236309884197,-0.07155298670731176,4,46.0,0.9808995691449718,"Long-term only (50,200)",8,2003-07-10,2005-07-08,2005-07-11,2006-01-06,0.6032811861195052
0.11174763640388297,0.1380690100907071,0.8093607416354198,-0.07625441072330182,4,121.0,1.0543944406169272,Original (>=2 signals),9,2004-01-08,2006-01-06,2006-01-09,2006-07-10,0.8742299783998767
0.23104442111602452,0.11156225565137547,2.0709909437294165,-0.04920522138587341,2,125.0,1.1095244121316234,Short OR Long,10,2004-07-12,2006-07-10,2006-07-11,2007-01-09,0.7980045511836266
-0.12058327290959325,0.12643741267429112,-0.953699307500238,-0.07472142361281192,11,90.0,0.9377722149277012,Short OR Long,11,2005-01-07,2007-01-09,2007-01-10,2007-07-11,0.9842530455717137
-0.31234503364626864,0.1327189795651886,-2.3534315488980364,-0.17378856509310092,3,21.0,0.8292496405508605,"Long-term only (50,200)",12,2005-07-11,2007-07-11,2007-07-12,2008-01-09,0.5889720434201263
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,"Long-term only (50,200)",13,2006-01-09,2008-01-09,2008-01-10,2008-07-10,-0.16036297626641027
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,All 4 signals,14,2006-07-11,2008-07-10,2008-07-11,2009-01-08,0.17150183630843446
1.314180655479166,0.9652008810421533,1.3615618067611064,-0.2722323113603694,2,76.0,1.52124312832603,"Medium-term only (10,50)",15,2007-01-10,2009-01-08,2009-01-09,2009-07-10,-0.7604132282038683
0.5486996357671907,0.3896344146282708,1.4082422269877661,-0.21570754798973285,4,103.0,1.2444676113773274,Original (>=2 signals),16,2007-07-12,2009-07-10,2009-07-13,2010-01-08,-0.19686673630194484
-0.26199709326331266,0.36276146148328536,-0.7222296772982443,-0.25231716659498843,3,117.0,0.8590709555890522,"Long-term only (50,200)",17,2008-01-10,2010-01-08,2010-01-11,2010-07-12,0.6934423319820947
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,All 4 signals,18,2008-07-11,2010-07-12,2010-07-13,2011-01-07,0.523321911460714
-0.1546224099487885,0.19485138036599542,-0.7935402338867521,-0.13008176870543653,3,65.0,0.9194441745158928,Original (>=2 signals),19,2009-01-09,2011-01-07,2011-01-10,2011-07-11,0.716485528809873
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,All 4 signals,20,2009-07-13,2011-07-11,2011-07-12,2012-01-09,0.3105937625704645
-0.1746862286666837,0.12092603739875718,-1.4445708502847134,-0.10160439105773351,3,15.0,0.9084678152435101,All 4 signals,21,2010-01-11,2012-01-09,2012-01-10,2012-07-10,0.06826832538338175
0.9007020438181736,0.32460126243993354,2.774795258181862,-0.11199978790247708,4,109.0,1.378659509747847,"Medium-term only (10,50)",22,2010-07-13,2012-07-10,2012-07-11,2013-01-10,0.10258273307360402
0.007284788609597914,0.24369373795033034,0.029893212155835944,-0.12773232012970373,8,103.0,1.0036357848391009,"Medium-term only (10,50)",23,2011-01-10,2013-01-10,2013-01-11,2013-07-12,0.7060194550973643
0.4578751013635953,0.189180128672468,2.420312876286945,-0.08363796756494456,2,125.0,1.2074249878827237,Short OR Long,24,2011-07-12,2013-07-12,2013-07-15,2014-01-10,0.9496658897589689
-0.18316489456387053,0.22540393692716637,-0.8126073442233428,-0.19029010597087337,4,121.0,0.9037893036743295,Short OR Long,25,2012-01-10,2014-01-10,2014-01-13,2014-07-14,1.6772793146507645
-0.014761254035839944,0.16524108619872319,-0.08933162069685066,-0.0884904883998558,2,70.0,0.9925919332556356,"Long-term only (50,200)",26,2012-07-11,2014-07-14,2014-07-15,2015-01-12,1.6448090222408915
0.10941453820711922,0.21224141557627224,0.515519263335291,-0.08036210694121677,6,105.0,1.053287490767416,Short OR Long,27,2013-01-11,2015-01-12,2015-01-13,2015-07-14,0.8107640018068221
-0.2874423481751448,0.2798168438059347,-1.0272517703562505,-0.19531289815252975,4,120.0,0.844131300109678,Short OR Long,28,2013-07-15,2015-07-14,2015-07-15,2016-01-12,0.4839323302067596
-0.17907371867545696,0.19062378214771433,-0.9394091159973563,-0.13542342870516405,9,57.0,0.9060498227606156,Short OR Long,29,2014-01-13,2016-01-12,2016-01-13,2016-07-13,-0.24544551310910168
1.55823269473438,0.2226039664846264,7.000022143998928,-0.05275575280989428,6,107.0,1.5994476217539542,"Short-term only (5,20)",30,2014-07-15,2016-07-13,2016-07-14,2017-01-11,-0.11400010445285169
-0.17332460157934737,0.19360597471459431,-0.8952440741297117,-0.18293346480904804,10,80.0,0.9092169149442022,"Short-term only (5,20)",31,2015-01-13,2017-01-11,2017-01-12,2017-07-13,1.5775213191339015
0.4509568892571365,0.1676990589376704,2.689084197095859,-0.06367648490866863,4,105.0,1.2045567189871702,"Medium-term only (10,50)",32,2015-07-15,2017-07-13,2017-07-14,2018-01-11,1.083869217415929
-0.15230534691547826,0.2484419925886286,-0.613041882849757,-0.1506242957829637,2,125.0,0.9207033469497772,Short OR Long,33,2016-01-13,2018-01-11,2018-01-12,2018-07-13,2.107614856273463
-0.17308200674263863,0.1814388889635874,-0.9539410637450172,-0.20451891800251254,10,88.0,0.9093503138270539,Short OR Long,34,2016-07-14,2018-07-13,2018-07-16,2019-01-14,2.0372022225849378
-0.037592372911170124,0.18946721545745301,-0.19841096424205334,-0.13552145107673935,2,82.0,0.9810237647931012,"Long-term only (50,200)",35,2017-01-12,2019-01-14,2019-01-15,2019-07-16,0.6365169551626392
0.17225965396502385,0.215855878843157,0.7980308661882191,-0.15021054489995447,4,115.0,1.0827094042101157,"Long-term only (50,200)",36,2017-07-14,2019-07-16,2019-07-17,2020-01-14,0.45048068203098923
-0.27842130840030666,0.3536400419111927,-0.7873014234915875,-0.20148290440958339,9,46.0,0.8494578810039338,"Short-term only (5,20)",37,2018-01-12,2020-01-14,2020-01-15,2020-07-15,0.09988918071076348
