CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity,Strategy,Period,Train_Start,Train_End,Test_Start,Test_End,Train_Sharpe
-0.03846853516419224,0.12092581978686905,-0.3181168027803556,-0.07833899422998171,7,61.0,0.9805771080520939,"Medium-term only (10,50)",1,2000-01-03,2002-01-07,2002-01-08,2002-07-09,0.7037354479831494
-0.08978181116963313,0.12731892306350814,-0.7051725620145949,-0.09524551780171353,2,28.0,0.9540535565838885,"Long-term only (50,200)",2,2000-07-03,2002-07-09,2002-07-10,2003-01-07,-0.13334808602380685
-0.01064789302119884,0.11562510010844068,-0.09208980585714138,-0.0729506109356254,3,43.0,0.9946618053282237,"Medium-term only (10,50)",3,2001-01-02,2003-01-07,2003-01-08,2003-07-09,-0.1311667766874371
-0.1667914914738996,0.07377117859340794,-2.260930280010516,-0.10828179764857995,8,30.0,0.9128025572521696,"Medium-term only (10,50)",4,2001-07-03,2003-07-09,2003-07-10,2004-01-07,0.103567244145575
0.005940072222215376,0.1253908416155118,0.04737245675748414,-0.07949177730207711,5,98.0,1.0029656386049401,"Medium-term only (10,50)",5,2002-01-08,2004-01-07,2004-01-08,2004-07-09,-0.34683926272317983
0.06712895322518686,0.12522149143569475,0.5360817257128719,-0.056078126357671294,6,94.0,1.0330193382629325,"Medium-term only (10,50)",6,2002-07-10,2004-07-09,2004-07-12,2005-01-06,-0.2521410989216294
0.1817308572344054,0.11400805134300272,1.594017747813731,-0.028900889852399362,3,88.0,1.0870744488002675,>=3 of 4 signals,7,2003-01-08,2005-01-06,2005-01-07,2005-07-08,0.34842820005410097
-0.001998999999999973,0.001414213562373094,-1.4135064555918906,0.0,1,0.0,0.999,>=3 of 4 signals,8,2003-07-10,2005-07-08,2005-07-11,2006-01-06,0.8859994941156016
-0.022426102823275174,0.05208539686652422,-0.4305641153267019,-0.037215709139554756,4,25.0,0.988723367366588,>=3 of 4 signals,9,2004-01-08,2006-01-06,2006-01-09,2006-07-10,0.8545921618503224
0.21143971686924257,0.10507137216479755,2.0123437289618074,-0.047180621946989555,2,125.0,1.1006542222102464,Long AND VeryLong,10,2004-07-12,2006-07-10,2006-07-11,2007-01-09,1.172010546725728
-0.025109227671292644,0.04077665889108627,-0.6157745228307926,-0.03512392979635036,3,26.0,0.987365571776081,Long AND VeryLong,11,2005-01-07,2007-01-09,2007-01-10,2007-07-11,1.0913232306360137
0.05615937997016829,0.07750908769560418,0.7245521994881291,-0.037427233785882294,2,63.0,1.0276961515789422,Long AND VeryLong,12,2005-07-11,2007-07-11,2007-07-12,2008-01-09,0.7902638667484793
-0.09716892058525006,0.10575531036877656,-0.9188089018548088,-0.10114747758453915,4,73.0,0.9501742363454978,Long AND VeryLong,13,2006-01-09,2008-01-09,2008-01-10,2008-07-10,0.8705061288712782
0.12664452164461815,0.10180465926920367,1.2439953392479812,-0.04479943274575243,8,62.0,1.0614351236154842,"Short-term only (5,20)",14,2006-07-11,2008-07-10,2008-07-11,2009-01-08,0.6067599786341272
0.07163528975766353,0.133126292986734,0.5381002366287024,-0.059663687046564065,12,70.0,1.035198188637163,"Short-term only (5,20)",15,2007-01-10,2009-01-08,2009-01-09,2009-07-10,0.5283097157968745
0.0154762410885676,0.09766590102578819,0.15846104859546808,-0.10809341531409856,13,87.0,1.007708410746168,"Short-term only (5,20)",16,2007-07-12,2009-07-10,2009-07-13,2010-01-08,0.6019595132810799
-0.07030460350229084,0.08641500687211891,-0.8135693792899997,-0.05561852568654772,5,67.0,0.964207133606524,>=3 of 4 signals,17,2008-01-10,2010-01-08,2010-01-11,2010-07-12,0.5618556280631082
-0.049649807634353116,0.061496302310082525,-0.8073624879753601,-0.06572437242002205,6,57.0,0.9748590628217224,>=3 of 4 signals,18,2008-07-11,2010-07-12,2010-07-13,2011-01-07,0.8361892900340402
0.09623085132763931,0.11252090767878908,0.8552264046993592,-0.07635119337704036,8,82.0,1.0470104351569947,Original (>=2 signals),19,2009-01-09,2011-01-07,2011-01-10,2011-07-11,0.7490518065601518
-0.12343692307091292,0.11809402092438648,-1.045242782866606,-0.09566775027814091,8,66.0,0.9362494736602457,"Medium-term only (10,50)",20,2009-07-13,2011-07-11,2011-07-12,2012-01-09,0.7936076605692931
0.12021942088992454,0.09207149855731264,1.305718086201132,-0.05782471489085427,2,125.0,1.0584041859752467,Short OR Long,21,2010-01-11,2012-01-09,2012-01-10,2012-07-10,-0.013503409682128506
0.16675189005546343,0.10175178927521736,1.638810395799865,-0.047573188331630864,2,125.0,1.0801628997773731,Short OR Long,22,2010-07-13,2012-07-10,2012-07-11,2013-01-10,0.37175392414941605
0.5892796208067035,0.12750780720390892,4.6215179582245876,-0.06037828123800035,2,125.0,1.260666339999091,Short OR Long,23,2011-01-10,2013-01-10,2013-01-11,2013-07-12,0.8057776435101593
0.12604045476485215,0.1262382917449595,0.9984328290776696,-0.08618545957619139,2,125.0,1.061150533508254,"Long-term only (50,200)",24,2011-07-12,2013-07-12,2013-07-15,2014-01-10,1.4303044521289292
