alpha,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,n_nonzero_coefs,intercept
1e-05,0.009328352485747371,-0.03263874661731592,0.01832792280731083,0.020804983981502975,0.013118303846045011,0.014859414747658053,19,-9.743527775905445e-05
1.3257113655901082e-05,0.009311459105496467,-0.030909006773408576,0.018328079074652302,0.020787551799749615,0.013117954866343023,0.014841328534780684,19,-9.743527775905445e-05
1.757510624854793e-05,0.009281892072170783,-0.028710122983112818,0.018328352572759523,0.020765370496422113,0.013117545666931471,0.014818150769396405,19,-9.743527775905445e-05
2.3299518105153718e-05,0.009229947107895486,-0.025911068723044606,0.018328833059152543,0.020737100632618136,0.013117117231423517,0.014788515157491673,19,-9.743527775905444e-05
3.0888435964774785e-05,0.00913873438910251,-0.02240770544468762,0.01832967673837685,0.02070166299693305,0.013116721298102091,0.014751036224706882,19,-9.743527775905444e-05
4.094915062380427e-05,0.00899324680943614,-0.01805356448176032,0.018331022356838023,0.020657534743989348,0.013116369010029409,0.014704077137222665,17,-9.743527775905444e-05
5.4286754393238594e-05,0.008750634441760052,-0.01289369018750941,0.018333266065350875,0.020605118206495576,0.013116497700897073,0.014647607115493885,16,-9.743527775905442e-05
7.196856730011514e-05,0.008362944180072218,-0.007140174794726173,0.01833685090188658,0.020546513489343887,0.013117523067049225,0.014582376487848244,14,-9.743527775905444e-05
9.540954763499944e-05,0.007748130440284995,-0.0013572853188077438,0.018342534433440204,0.020487440645583346,0.013119864288479792,0.01451316025086288,13,-9.743527775905452e-05
0.00012648552168552957,0.007054755018356396,0.002007843011264665,0.01834894210162923,0.020452986965937246,0.013122090667056085,0.014468288540490155,10,-9.74352777590546e-05
0.00016768329368110083,0.006592013148357667,0.002248899376551372,0.01835321717863381,0.0204505166957964,0.0131218119904392,0.014466603277759765,9,-9.743527775905456e-05
0.00022229964825261955,0.005923063852380728,0.002604494310678329,0.01835939555937419,0.020446872125429158,0.013123635617821846,0.014466213893955217,6,-9.743527775905452e-05
0.00029470517025518097,0.005017705607698653,0.0033121948423781022,0.018367754091124136,0.020439616813999716,0.013127455193959676,0.01446579725524267,6,-9.743527775905449e-05
0.0003906939937054617,0.0036564137747555625,0.0037093381139258197,0.018380314780552926,0.02043554419214338,0.013134245281518811,0.014468171529184594,3,-9.743527775905446e-05
0.0005179474679231213,0.002577009985888723,0.003546817533070401,0.018390268380478865,0.020437210905085296,0.013140955170281294,0.014475461813767397,2,-9.743527775905445e-05
0.0006866488450042998,0.00177922868362268,0.0025918039764909473,0.01839762156958336,0.020447002202621967,0.013147811693189864,0.014491658705659058,1,-9.743527775905445e-05
0.0009102981779915217,0.0007259061958394541,0.0009839287284728604,0.018407325594830656,0.020463476395424205,0.013157827991390803,0.014517083879049349,1,-9.743527775905444e-05
0.0012067926406393288,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.0015998587196060573,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.0021209508879201904,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.002811768697974231,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.003727593720314938,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.004941713361323833,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.006551285568595509,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.00868511373751352,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.01151395399326447,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.015264179671752334,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.020235896477251575,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.026826957952797246,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.03556480306223129,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.04714866363457394,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.0625055192527397,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.08286427728546843,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.10985411419875572,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.14563484775012445,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.19306977288832497,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.2559547922699533,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.33932217718953295,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.4498432668969444,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.5963623316594636,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
0.7906043210907702,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
1.0481131341546852,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
1.389495494373136,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
1.8420699693267164,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
2.44205309454865,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
3.2374575428176398,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
4.291934260128778,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
5.689866029018293,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
7.543120063354607,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
10.0,0.0,-3.0453219934001297e-05,0.018414010230213627,0.020473862872210327,0.013164742576027752,0.014532897918587976,0,-9.743527775905444e-05
