alpha,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,n_nonzero_coefs,intercept
1e-05,0.007714834904963941,-0.023982379935926,0.06283024923441892,0.05550566203182583,0.04322790301271941,0.04158547982872576,20,0.00224830177798843
1.3257113655901082e-05,0.007713693481984141,-0.01912236791244526,0.06283028537114262,0.05537378523751356,0.04322743957640456,0.041473304448868854,20,0.00224830177798843
1.757510624854793e-05,0.007711685556732406,-0.01342063169411789,0.06283034894072527,0.05521866669160945,0.04322684112254667,0.04133949514478475,20,0.00224830177798843
2.3299518105153718e-05,0.007708169064921222,-0.0071640673633652785,0.06283046027037038,0.05504795079936697,0.04322607733987285,0.04119335995582634,19,0.00224830177798843
3.0888435964774785e-05,0.007702249651005855,-0.0011643858985177502,0.0628306476743853,0.05488374542978194,0.04322513460739793,0.04105473840523655,19,0.00224830177798843
4.094915062380427e-05,0.007693287243054736,0.0027570792422507706,0.06283093141614758,0.054776152778199465,0.04322417577461246,0.04094913077591392,18,0.00224830177798843
5.4286754393238594e-05,0.007677616028413881,0.006233541154664568,0.0628314275496072,0.05468059258138881,0.04322298365792201,0.04084998427319146,18,0.00224830177798843
7.196856730011514e-05,0.007650066883041484,0.007966597635751249,0.06283229971582346,0.05463289228610898,0.043221545116361594,0.04078694066865914,18,0.0022483017779884296
9.540954763499944e-05,0.007601645045652861,0.005209911296849445,0.06283383265203112,0.05470874722499405,0.043219796206262984,0.04084295401846104,18,0.0022483017779884296
0.00012648552168552957,0.007523270759789646,0.005805962899228301,0.06283631374216626,0.054692354760429225,0.04321556323814563,0.04083081940001537,16,0.0022483017779884296
0.00016768329368110083,0.007399974096286122,0.006420175180329335,0.06284021673908158,0.05467545770376122,0.043210059371047556,0.04081821143366429,14,0.0022483017779884296
0.00022229964825261955,0.007185251638348156,0.007130683746156441,0.06284701327131957,0.05465590500779776,0.04320429331499366,0.0408033373405447,14,0.0022483017779884296
0.00029470517025518097,0.0068244610311160026,0.007883687576431764,0.06285843159104848,0.054635175234289825,0.04319929193732972,0.04078826778060912,13,0.0022483017779884296
0.0003906939937054617,0.006203551915033745,0.008596187779731035,0.0628780772999486,0.0546155532582369,0.04319594089804841,0.04077527825026938,13,0.0022483017779884296
0.0005179474679231213,0.0055251078143302434,0.008927472759989619,0.06289953641389856,0.05460642739851337,0.0431958850009109,0.04076956319698899,8,0.0022483017779884296
0.0006866488450042998,0.005173483609793084,0.008788869610331429,0.06291065536971978,0.05461024566509747,0.043193094160306374,0.040769047636457556,7,0.0022483017779884296
0.0009102981779915217,0.004590800112448723,0.008429773000895757,0.06292907648839319,0.054620136886889846,0.043192182489822414,0.04077495722993398,6,0.0022483017779884296
0.0012067926406393288,0.0037217171622496714,0.007696291365277719,0.06295654190422198,0.05464033488204486,0.04319364724034017,0.0407912273532621,5,0.0022483017779884296
0.0015998587196060573,0.0028641162142979404,0.006486927459040226,0.06298363271654439,0.054673621025619026,0.04319865805510179,0.04082552894188875,2,0.0022483017779884296
0.0021209508879201904,0.0023280080914573897,0.0049110752838097405,0.06300056195372927,0.05471696389123302,0.043195218531728884,0.04087627374220493,1,0.0022483017779884296
0.002811768697974231,0.0014714656504736245,0.002617416756120372,0.06302760043843983,0.05477998830597716,0.04319790008100454,0.04095088176179033,1,0.0022483017779884296
0.003727593720314938,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.004941713361323833,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.006551285568595509,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.00868511373751352,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.01151395399326447,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.015264179671752334,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.020235896477251575,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.026826957952797246,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.03556480306223129,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.04714866363457394,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.0625055192527397,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.08286427728546843,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.10985411419875572,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.14563484775012445,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
0.19306977288832497,0.0,-0.0007977428617127469,0.06307402315133567,0.054873694839670445,0.043213326410765404,0.0410587357801693,0,0.0022483017779884296
