alpha,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,n_nonzero_coefs,intercept
0.0001,0.012669451088097916,-0.1658750524276007,0.0399029433118451,0.03530394327138594,0.028962051064706763,0.02664406657076438,13,0.001675891240916255
0.00013257113655901095,0.01257274956108767,-0.14447227823077524,0.039904897359087615,0.03497839281757588,0.028957880297342305,0.026338011512925353,12,0.001675891240916255
0.00017575106248547912,0.012410881500305893,-0.1185467351615701,0.03990816801201524,0.03457994348811406,0.02895335091822841,0.025959345579290836,11,0.001675891240916255
0.00023299518105153718,0.012153865279371567,-0.08883349564833276,0.039913360646827864,0.03411755876095565,0.02894860773263189,0.025511826919754618,10,0.0016758912409162551
0.00030888435964774815,0.011712057446759183,-0.05610074474921012,0.03992228514605071,0.03360082079413179,0.028944178753207383,0.025000151849938108,8,0.0016758912409162551
0.00040949150623804275,0.011127366328924526,-0.026755862626552496,0.039934092815209876,0.0331307149245993,0.028942252726953718,0.02451429330918387,7,0.0016758912409162551
0.0005428675439323859,0.010344689053918943,-0.0025681823560004258,0.039949893295355164,0.0327381527549421,0.028942111418682855,0.02406019671851273,6,0.0016758912409162551
0.0007196856730011522,0.00934306473126989,0.011189674768321556,0.03997010470876728,0.03251275027370759,0.028944751651926403,0.02376650501980109,4,0.0016758912409162551
0.0009540954763499944,0.008642270567501886,0.010673223790536257,0.03998423970501181,0.032521239793546076,0.028950559960286996,0.02374025392801463,2,0.0016758912409162551
0.0012648552168552957,0.007942392901092,0.01009840295218345,0.0399983512301696,0.03253068620304878,0.028956588624858733,0.023764553538407344,2,0.0016758912409162551
0.0016768329368110084,0.006927571945228195,0.009014116350874346,0.04001880406950357,0.03254849753582902,0.028967127084809963,0.023800942019070542,1,0.0016758912409162551
0.0022229964825261957,0.005606820687996228,0.007317412858267591,0.040045407025234056,0.032576349361127105,0.028983019069411625,0.023848450849088657,1,0.0016758912409162551
0.0029470517025518097,0.0032855863206203706,0.004218867033949469,0.04009211922800857,0.03262715143403438,0.029015916563854962,0.02392203254827764,1,0.0016758912409162551
0.003906939937054617,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.005179474679231213,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.006866488450042998,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.009102981779915217,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.012067926406393288,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.015998587196060572,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.021209508879201904,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.028117686979742307,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.03727593720314938,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.04941713361323833,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.0655128556859551,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.08685113737513521,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.1151395399326447,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.15264179671752334,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.20235896477251575,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.2682695795279725,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.35564803062231287,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.47148663634573945,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.6250551925273969,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
0.8286427728546842,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
1.0985411419875573,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
1.4563484775012443,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
1.9306977288832496,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
2.559547922699533,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
3.39322177189533,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
4.498432668969444,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
5.963623316594637,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
7.9060432109077015,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
10.481131341546853,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
13.89495494373136,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
18.420699693267164,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
24.420530945486497,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
32.3745754281764,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
42.91934260128778,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
56.89866029018293,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
75.43120063354607,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
100.0,0.0,-0.00028185509594358393,0.04015814503198789,0.03270080225124895,0.029068651660308996,0.02401755903494132,0,0.0016758912409162551
