alpha,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,n_nonzero_coefs,intercept
1e-05,0.02050766462469289,-0.021563481330296508,0.03989398860132374,0.03119333378255712,0.025751102118189383,0.02191930084579818,20,-0.0005319077985284845
1.3257113655901082e-05,0.02050094525996571,-0.02017140747717816,0.03989412543843334,0.031172073122601403,0.025749749814203245,0.021898662716193368,20,-0.0005319077985284847
1.757510624854793e-05,0.020489097791540845,-0.018393093048508113,0.03989436670613032,0.031144892432451186,0.025747994723877655,0.021872014520304493,20,-0.000531907798528485
2.3299518105153718e-05,0.020468349321969392,-0.016164217736144293,0.039894789234694535,0.031110791599289582,0.025745751311862804,0.021838066682001136,20,-0.0005319077985284853
3.0888435964774785e-05,0.020431959063172633,-0.013423967699940809,0.03989553028692112,0.0310688156580836,0.025742907515830832,0.021795242659606702,19,-0.0005319077985284856
4.094915062380427e-05,0.020368205980418996,-0.010171897037347444,0.03989682852326355,0.031018925792136113,0.025739372638445092,0.021742528348837796,19,-0.000531907798528486
5.4286754393238594e-05,0.02025609890844493,-0.006542389555366457,0.03989911131395046,0.030963150763846863,0.025735134233118934,0.021681880780876097,19,-0.0005319077985284867
7.196856730011514e-05,0.020131384849122913,-0.0033760969011040753,0.039901650662135524,0.03091441182374577,0.02573021621770688,0.02162435413081309,16,-0.0005319077985284873
9.540954763499944e-05,0.01997234662233549,-0.0010919251423910925,0.03990488866271876,0.03087920365987735,0.025724344983466225,0.021577375929331448,15,-0.000531907798528488
0.00012648552168552957,0.019756778073316772,0.000362623095093495,0.03990927719498587,0.030856762355016668,0.025715716694781177,0.02155653050231196,14,-0.0005319077985284886
0.00016768329368110083,0.01938607236727541,0.0017952086795436362,0.03991682287240992,0.030834643933426727,0.025705649535498695,0.021536838866257964,13,-0.0005319077985284894
0.00022229964825261955,0.01876839624480331,0.003200233665506369,0.03992939244047776,0.03081293561201124,0.02569537676163044,0.021521179648471875,12,-0.0005319077985284904
0.00029470517025518097,0.01775925798227518,0.004198645937746881,0.03994991966504675,0.030797500355401387,0.025686566585688287,0.021517795670721984,12,-0.0005319077985284916
0.0003906939937054617,0.01598387197199702,0.004479906182407012,0.03998600781773397,0.030793150730759392,0.025681167865069028,0.02152566168713504,12,-0.0005319077985284931
0.0005179474679231213,0.015004051891878922,0.0047964210356395975,0.040005910614097855,0.030788255166890023,0.025677063103278778,0.02153334622780604,9,-0.0005319077985284936
0.0006866488450042998,0.014360559697730535,0.005060284568314644,0.040018976296298636,0.03078417337071322,0.025675956279514862,0.021538531228885903,7,-0.0005319077985284941
0.0009102981779915217,0.013565116308003722,0.0053941922707183565,0.04003512135346289,0.030779007261141234,0.02567316249032452,0.02154185738344294,6,-0.0005319077985284943
0.0012067926406393288,0.012369593504468868,0.005531654359309357,0.04005937455459855,0.030776880241176467,0.025672090515451152,0.021551497123746245,6,-0.0005319077985284945
0.0015998587196060573,0.010384613615067706,0.0049634677241976455,0.040099610830383596,0.030785671126791318,0.02567803700523917,0.021576353868974277,5,-0.0005319077985284948
0.0021209508879201904,0.007245075974964599,0.0032557506342538733,0.04016316812144683,0.03081207753365867,0.025698638729314018,0.021621396490840463,4,-0.0005319077985284953
0.002811768697974231,0.00483394727757247,0.0019778938726603412,0.040211911188656115,0.03083182222254894,0.025716325878076218,0.021648292523895343,1,-0.0005319077985284954
0.003727593720314938,0.0011481280118113002,8.235990293181672e-05,0.04028630925236501,0.030861087627786717,0.02574661230697815,0.021683693660862282,1,-0.0005319077985284954
0.004941713361323833,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.006551285568595509,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.00868511373751352,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.01151395399326447,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.015264179671752334,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.020235896477251575,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.026826957952797246,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.03556480306223129,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.04714866363457394,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.0625055192527397,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
0.08286427728546843,0.0,-0.0006189950713504366,0.04030945610600897,0.030871908910628736,0.025757160370724317,0.02169578149609454,0,-0.0005319077985284954
