Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,MA_100,MA_200,Signal_5_20_short,Signal_10_50_medium,Signal_20_100_long,Signal_50_200_vlong,Combined_Signal,Buy,Signal_combined,Return,Position,Trade,StratRetGross,StratRetNet,Equity,BH_Equity
2000-01-03,12.89121096703314,12.89121096703314,12.313992565524195,12.426229476928713,13705800,,,,,,,,,,,NANANANA,,0,0.0,0.0,1,0.0,-0.001,0.999,1.0
2000-01-04,12.249852597795233,12.297954113231604,11.528329866249702,11.688668251037598,27293400,,,,,,,,,,,NANANANA,,0,-0.059355191151146514,0.0,0,-0.0,-0.0,0.999,0.9406448088488535
2000-01-05,11.5603988626757,11.913143349470245,11.416094299896114,11.816940307617188,22855600,,,,,,,,,,,NANANANA,,0,0.010974052289336234,0.0,0,0.0,0.0,0.999,0.9509674941668534
2000-01-06,12.041405022144318,12.827062606811523,11.993303537368774,12.827062606811523,17307000,,,,,,,,,,,NANANANA,,0,0.08548086669636579,0.0,0,0.0,0.0,0.999,1.0322570197683072
2000-01-07,12.7308668667912,12.7308668667912,12.313987095334562,12.49035930633545,11632800,12.249851989746094,,,,,,,,,,NANANANA,,0,-0.026249447032189233,0.0,0,-0.0,-0.0,0.999,1.0051608438042936
2000-01-10,12.55450341422507,12.55450341422507,11.977284866444608,12.057454109191896,11152800,12.17609691619873,,,,,,,,,,NANANANA,,0,-0.034659146828864396,0.0,0,-0.0,-0.0,0.999,0.9703228265322553
2000-01-11,11.688670246497445,12.041414753250452,11.688670246497445,11.800907135009766,11064400,12.198544692993163,,,,,,,,,,NANANANA,,0,-0.021277043384022032,0.0,0,-0.0,-0.0,0.999,0.9496772256556216
2000-01-12,11.800904673914756,12.073479917741592,11.800904673914756,11.92917537689209,11067600,12.220991706848144,,,,,,,,,,NANANANA,,0,0.010869354399187792,0.0,0,0.0,0.0,0.999,0.9599996039861101
2000-01-13,12.05744432807752,12.281918025674708,12.025376656992208,12.201748847961426,12322000,12.095928955078126,,,,,,,,,,NANANANA,,0,0.02284931375871424,0.0,0,0.0,0.0,0.999,0.9819349361458302
2000-01-14,12.811035851440806,12.9713742225477,12.522426783448395,12.955340385437012,20438600,12.188925170898438,12.219388580322263,,,,,,,,,NANANANA,,0,0.061760944833862075,0.0,0,0.0,0.0,0.999,1.0425801655675746
2000-01-18,12.827069560686748,12.827069560686748,12.265885267406702,12.313986778259276,17116000,12.240231704711912,12.208164310455322,,,,,,,,,NANANANA,,0,-0.049504959969919105,0.0,0,-0.0,-0.0,0.999,0.9909672762057202
2000-01-19,12.28191910435756,12.618629680325586,11.97727620229125,12.313986778259276,15468400,12.342847633361815,12.27069616317749,,,,,,,,,NANANANA,,0,0.0,0.0,0,0.0,0.0,0.999,0.9909672762057202
2000-01-20,12.185717309546003,12.31398801806754,11.800905183981392,12.077488899230955,12249000,12.37251033782959,12.296751022338867,,,,,,,,,NANANANA,,0,-0.01920563041742618,0.0,0,-0.0,-0.0,0.999,0.9719351249431497
2000-01-21,11.929177384696157,11.97727890640864,11.688669776133734,11.72073745727539,12839400,12.276308059692385,12.186118507385254,,,,,,,,,NANANANA,,0,-0.02953854438883241,0.0,0,-0.0,-0.0,0.999,0.9432255761119511
2000-01-24,11.736768955268165,11.865039654232843,11.416092207856464,11.43212604522705,12614800,11.971665191650391,12.080295181274414,,,,,,,,,NANANANA,,0,-0.02462399768789214,0.0,0,-0.0,-0.0,0.999,0.9199995917066097
