Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,MA_100,MA_200
2000-01-03,0.7863279020904363,0.8434980466222236,0.7624286130814529,0.8392807841300964,535796800,,,,,,
2000-01-04,0.8116325649788769,0.8294394504452686,0.7586797033957973,0.768520712852478,512377600,,,,,,
2000-01-05,0.7778924649636255,0.8289710564243499,0.7722695158492308,0.7797667980194092,778321600,,,,,,
2000-01-06,0.7957002882517805,0.8022604296014583,0.7122871279716492,0.7122871279716492,767972800,,,,,,
2000-01-07,0.7235339100069036,0.7572742100950559,0.7160366272483127,0.746027410030365,460734400,0.7691765666007996,,,,,
2000-01-10,0.7647710850016827,0.766645417327662,0.7104124944250084,0.7329059839248657,505064000,0.7479016065597535,,,,,
2000-01-11,0.7193167530801458,0.7450903256747055,0.6785477629165049,0.6954174637794495,441548800,0.7332809567451477,,,,,
2000-01-12,0.7122869556418895,0.7160364721357444,0.6485558865775317,0.6537111401557922,976068800,0.7080698251724243,,,,,
2000-01-13,0.70842074777454,0.7404034304245253,0.6935429093605644,0.7254080176353455,1032684800,0.7106940031051636,,,,,
2000-01-14,0.7497760385256035,0.7666457372400635,0.7450902307817903,0.7530561089515686,390376000,0.7120997428894043,0.740638154745102,,,,
2000-01-18,0.7572740286135043,0.7947629360702142,0.7530559665572658,0.7792981266975403,459177600,0.7213781714439392,0.7346398890018463,,,,
2000-01-19,0.7919507581918713,0.8153814485809392,0.7750810094803271,0.7989802956581116,597643200,0.7420907378196716,0.7376858472824097,,,,
2000-01-20,0.8659911999466648,0.910977383966185,0.8509958386421204,0.8509958386421204,1831132800,0.7815476775169372,0.7448087513446808,,,,
2000-01-21,0.85661905835441,0.85661905835441,0.8261596303099725,0.8345949053764343,495924800,0.803385055065155,0.7570395290851593,,,,
2000-01-24,0.8130383970729954,0.8453721022535686,0.7882019731164078,0.7966372966766357,440876800,0.8121012926101685,0.7621005177497864,,,,
2000-01-25,0.7872648213208211,0.8481844661908706,0.7675836012113953,0.8416234254837036,497145600,0.8245663523674012,0.7729722619056701,,,,
2000-01-26,0.8247538591397761,0.8561504274535366,0.8228795761038805,0.8261595964431763,367158400,0.8300022125244141,0.7860464751720428,,,,
2000-01-27,0.8158500097640576,0.84724742979128,0.8022603812632654,0.8247538805007935,340144000,0.8247538208961487,0.803150749206543,,,,
2000-01-28,0.8111642824445364,0.8313140526560007,0.7544626872193864,0.761959969997406,423348800,0.810226833820343,0.806805944442749,,,,
2000-01-31,0.7572740978899193,0.778829602244218,0.7085383886054201,0.7778924107551575,701680000,0.8064778566360473,0.8092895746231079,0.7749638646841049,,,
