Date,selected_ma_short,selected_ma_long,predicted_return,actual_return,signal,position,equity,strategy_return
2018-04-25,100,200,-0.00014764669142631,0.006224252782820461,0,0,1.0,0.0
2018-04-26,20,100,-0.00014764669142631,0.000824728575968825,0,0,1.0,0.0
2018-04-27,20,100,-0.00014764669142631,-0.006455485309501352,0,0,1.0,0.0
2018-04-30,50,200,-0.00014764669142631,-0.00525265167387412,0,0,1.0,0.0
2018-05-01,100,200,-0.00014764669142631,-0.0141745641180272,0,0,1.0,0.0
2018-05-02,20,100,-0.00014764669142631,0.005920659593019462,0,0,1.0,0.0
2018-05-03,50,200,-0.00014764669142631,0.014994263037458433,0,0,1.0,0.0
2018-05-04,100,200,-0.00014764669142631,-0.006213272225434552,0,0,1.0,0.0
2018-05-07,20,100,-0.00014764669142631,-0.007501704654734764,0,0,1.0,0.0
2018-05-08,50,200,-0.00014764669142631,0.013017993178257692,0,0,1.0,0.0
2018-05-09,100,200,-0.00014764669142631,0.010777638893008534,0,0,1.0,0.0
2018-05-10,5,10,-7.058756607794981e-05,0.0030079555092841215,1,1,1.002004947553775,0.0030079555092841215
2018-05-11,5,10,-7.058756607794981e-05,-0.0012271127267874382,1,1,1.0007753745303276,-0.0012271127267874382
2018-05-14,5,10,-7.058756607794981e-05,-0.004502980064006734,1,1,0.9962689029702687,-0.004502980064006734
2018-05-15,5,10,-7.058756607794981e-05,0.007950243419481806,1,1,1.0041894832601423,0.007950243419481806
2018-05-16,5,20,-7.058756607794981e-05,0.005848057937433371,1,1,1.010062041538409,0.005848057937433371
2018-05-17,10,20,-7.058756607794981e-05,-0.006895600606812824,1,1,1.003097057111858,-0.006895600606812824
2018-05-18,10,20,-7.058756607794981e-05,0.008304970269280787,1,1,1.0114277483483751,0.008304970269280787
2018-05-21,10,20,-7.058756607794981e-05,-0.0004051016388180173,1,1,1.0110180173099732,-0.0004051016388180173
2018-05-22,5,20,-7.058756607794981e-05,0.002026516947325696,1,1,1.0130668624561034,0.002026516947325696
2018-05-23,10,20,-7.058756607794981e-05,-0.005527306337086202,1,1,1.0074673315673577,-0.005527306337086202
2018-05-24,10,20,-7.058756607794981e-05,0.007319928495745032,1,1,1.0148419203962298,0.007319928495745032
2018-05-25,10,20,-7.058756607794981e-05,-0.0034985702867973423,1,1,1.0112914246077351,-0.0034985702867973423
2018-05-29,10,20,-7.058756607794981e-05,0.011343560977173484,1,1,1.0227630705484656,0.011343560977173484
