Date,selected_ma_short,selected_ma_long,predicted_return,actual_return,signal,position,equity,strategy_return
2018-04-25,50,200,0.0005778194683299015,0.021124639118474953,1,1,1.0201035144793564,0.021124639118474953
2018-04-26,20,200,0.001012896101065708,0.016550166553657153,1,1,1.0369863975459608,0.016550166553657153
2018-04-27,20,200,0.0011560034768127825,-0.024003684496464395,1,1,1.0120949032321422,-0.024003684496464395
2018-04-30,20,200,0.0008498979417287368,0.015825722557616162,1,1,1.0281120363726715,0.015825722557616162
2018-05-01,20,200,0.0011477857728352855,-0.015684159002015252,1,1,1.011986963722317,-0.015684159002015252
2018-05-02,20,200,0.000899719455920181,0.005988554253834488,1,1,1.0180473025587413,0.005988554253834488
2018-05-03,20,200,0.0007828462442075048,0.011587205221536001,1,1,1.0298436255787207,0.011587205221536001
2018-05-04,20,200,0.0009347415555598454,0.011139003979628637,1,1,1.0413150578224373,0.011139003979628637
2018-05-07,20,200,0.001166638174966218,-0.0042610887803484765,1,1,1.0368779219127422,-0.0042610887803484765
2018-05-08,20,200,0.0010717883177298478,0.011794121268981606,1,1,1.0491069858649107,0.011794121268981606
2018-05-09,20,200,0.0010824463141292633,0.010006360599306818,1,1,1.0596047286727268,0.010006360599306818
2018-05-10,20,200,0.0012358568375617864,-0.002145040564515588,1,1,1.0573318335473714,-0.002145040564515588
2018-05-11,20,200,0.0011285351977351464,0.0033776497750375167,1,1,1.0609031301770926,0.0033776497750375167
2018-05-14,20,200,0.001176361428496673,-0.007242537889175726,1,1,1.0532194990600399,-0.007242537889175726
2018-05-15,20,200,0.0010128404517643747,0.002580203014204585,1,1,1.0559370191861337,0.002580203014204585
2018-05-16,20,200,0.0009228573753546759,-0.009984370597090564,1,1,1.0453941526593922,-0.009984370597090564
2018-05-17,20,200,0.0008025558039202776,0.001871108801416721,1,1,1.0473501988593827,0.001871108801416721
2018-05-18,20,200,0.0008329606586255899,0.012868375209691862,1,1,1.0608278941942506,0.012868375209691862
2018-05-21,20,200,0.0010093294407275163,-0.001024409448420971,1,1,1.0597411720762895,-0.001024409448420971
2018-05-22,20,200,0.0009978222078774399,0.011897342033469593,1,1,1.072349275267431,0.011897342033469593
2018-05-23,20,200,0.0012420967194772892,-0.0035474942520077324,1,1,1.0685451223772753,-0.0035474942520077324
2018-05-24,20,200,0.0012410110321888347,0.0005087563541237294,1,1,1.0690887514979526,0.0005087563541237294
2018-05-25,20,200,0.001123301837191283,-0.0035586477740231492,1,1,1.0652842411922012,-0.0035586477740231492
2018-05-29,20,200,0.0010023325443385455,0.009590860788625921,1,1,1.0755012340497927,0.009590860788625921
2018-05-30,20,200,0.0012314308286767647,-0.0011117091108971966,1,1,1.0743055895291183,-0.0011117091108971966
2018-05-31,20,200,0.0011457881251802746,0.019729201622118664,1,1,1.0955007811087072,0.019729201622118664
2018-06-01,20,200,0.0014391706531835897,0.008730819919926969,1,1,1.1050654011507066,0.008730819919926969
2018-06-04,20,200,0.0014886652945914872,0.005114379158955407,1,1,1.1107171246076344,0.005114379158955407
2018-06-05,20,200,0.0014773500080899945,0.002935994971738465,1,1,1.1139781845005061,0.002935994971738465
