Date,selected_ma_short,selected_ma_long,predicted_return,actual_return,signal,position,equity,strategy_return
2018-04-25,100,200,-0.0003102573340133602,0.007541622485959021,0,0,1.0,0.0
2018-04-26,20,100,-0.0003102573340133602,0.013099675450362724,0,0,1.0,0.0
2018-04-27,20,100,-0.0003102573340133602,-0.002309024868282994,0,0,1.0,0.0
2018-04-30,50,200,-0.0003102573340133602,-0.014348704820291713,0,0,1.0,0.0
2018-05-01,100,200,-0.0003102573340133602,-0.012443968422619855,0,0,1.0,0.0
2018-05-02,20,100,-0.0003102573340133602,-0.004041955125069885,0,0,1.0,0.0
2018-05-03,50,200,-0.0003102573340133602,0.011219787001021109,0,0,1.0,0.0
2018-05-04,100,200,-0.0003102573340133602,-0.005193505735488602,0,0,1.0,0.0
2018-05-07,20,100,-0.0003102573340133602,-0.007831043709329077,0,0,1.0,0.0
2018-05-08,50,200,-0.0003102573340133602,-0.0007173738500637628,0,0,1.0,0.0
2018-05-09,100,200,-0.0003102573340133602,0.00957386410812422,0,0,1.0,0.0
2018-05-10,20,100,-0.0003102573340133602,-0.0009483764588692489,0,0,1.0,0.0
2018-05-11,50,200,-0.0003102573340133602,-0.002373019125997633,0,0,1.0,0.0
2018-05-14,100,200,-0.0003102573340133602,-0.0076117008882568005,0,0,1.0,0.0
2018-05-15,20,100,-0.0003102573340133602,-0.004075244150652968,0,0,1.0,0.0
2018-05-16,100,200,-0.0003102573340133602,0.01805066376489073,0,0,1.0,0.0
2018-05-17,100,200,-0.0003102573340133602,-0.002836600089739849,0,0,1.0,0.0
2018-05-18,100,200,-0.0003102573340133602,0.005452733296870571,0,0,1.0,0.0
2018-05-21,20,100,-0.0003102573340133602,-0.003772933037874626,0,0,1.0,0.0
2018-05-22,100,200,-0.0003102573340133602,0.0035506641418521223,0,0,1.0,0.0
2018-05-23,50,200,-0.0003102573340133602,-0.0018870256260620222,0,0,1.0,0.0
2018-05-24,100,200,-0.0003102573340133602,0.001890593223923931,0,0,1.0,0.0
2018-05-25,20,200,-0.0003102573340133602,0.00660373148418314,0,0,1.0,0.0
2018-05-29,100,200,-0.0003102573340133602,0.010543192622914033,0,0,1.0,0.0
2018-05-30,100,200,-0.0003102573340133602,-0.0030139686699346413,0,0,1.0,0.0
2018-05-31,20,200,-0.0003102573340133602,0.002790874005606625,0,0,1.0,0.0
2018-06-01,100,200,-0.0003102573340133602,0.008580654961153567,0,0,1.0,0.0
2018-06-04,20,100,-0.0003102573340133602,-0.008737578246573952,0,0,1.0,0.0
2018-06-05,20,100,-0.0003102573340133602,0.008118742817643465,0,0,1.0,0.0
2018-06-06,50,200,-0.0003102573340133602,-0.00046027810040782935,0,0,1.0,0.0
2018-06-07,100,200,-0.0003102573340133602,0.011740541832500284,0,0,1.0,0.0
2018-06-08,20,200,-0.0003102573340133602,0.004095323969733222,0,0,1.0,0.0
2018-06-11,50,200,-0.0003102573340133602,0.006344850909031807,0,0,1.0,0.0
2018-06-12,100,200,-0.0003102573340133602,-0.005179040475852048,0,0,1.0,0.0
2018-06-13,20,100,-0.0003102573340133602,-0.004795615036063516,0,0,1.0,0.0
2018-06-14,100,200,-0.0003102573340133602,0.01239070449434898,0,0,1.0,0.0
2018-06-15,20,100,-0.0003102573340133602,-0.012919080156435392,0,0,1.0,0.0
2018-06-18,20,100,-0.0003102573340133602,0.0011481739584031647,0,0,1.0,0.0
2018-06-19,100,200,-0.0003102573340133602,-0.007798474320403259,0,0,1.0,0.0
2018-06-20,20,100,-0.0003102573340133602,-0.0039293840289237325,0,0,1.0,0.0
2018-06-21,100,200,-0.0003102573340133602,0.003712977363672154,0,0,1.0,0.0
2018-06-22,100,200,-0.0003102573340133602,0.007630201204527509,0,0,1.0,0.0
2018-06-25,100,200,-0.0003102573340133602,-0.005736586438099267,0,0,1.0,0.0
2018-06-26,20,200,-0.0003102573340133602,-0.006000418850677702,0,0,1.0,0.0
2018-06-27,100,200,-0.0003102573340133602,0.009287200469390022,0,0,1.0,0.0
2018-06-28,20,100,-0.0003102573340133602,0.008971640416643334,1,1,1.0079626687762266,0.008971640416643334
2018-06-29,20,100,-0.0003102573340133602,-0.0025077344288189085,1,1,1.0054349660887723,-0.0025077344288189085
2018-07-02,50,200,-0.0003102573340133602,0.005485445734646932,0,0,1.0044295311226834,0.0
2018-07-03,100,200,-0.0003102573340133602,0.015230744272606067,0,0,1.0044295311226834,0.0
2018-07-05,20,200,-0.0003102573340133602,-0.00044761778932378427,0,0,1.0044295311226834,0.0
2018-07-06,50,200,-0.0003102573340133602,-0.005376404320083239,0,0,1.0044295311226834,0.0
2018-07-09,100,200,-0.0003102573340133602,0.012837819981552867,0,0,1.0044295311226834,0.0
2018-07-10,20,100,-0.0003102573340133602,-0.004002606666847708,1,1,0.999408785590248,-0.004002606666847708
2018-07-11,100,200,-0.0003102573340133602,-0.0026793068824741972,0,0,0.9984093768046578,0.0
2018-07-12,100,200,-0.0003102573340133602,0.0015671188599961638,0,0,0.9984093768046578,0.0
2018-07-13,20,200,-0.0003102573340133602,-0.00022367738519524227,0,0,0.9984093768046578,0.0
2018-07-16,50,200,-0.0003102573340133602,0.01162533299747337,0,0,0.9984093768046578,0.0
2018-07-17,100,200,-0.0003102573340133602,-0.00287280158731007,0,0,0.9984093768046578,0.0
2018-07-18,20,200,-0.0003102573340133602,-0.00022190016027545667,1,1,0.9971896417743205,-0.00022190016027545667
2018-07-19,100,200,-0.0003102573340133602,0.003768875827300011,0,0,0.9961924521325461,0.0
2018-07-20,100,200,-0.0003102573340133602,-0.007288014809040511,0,0,0.9961924521325461,0.0
2018-07-23,20,200,-0.0003102573340133602,0.006896576072077609,1,1,1.0020597063919467,0.006896576072077609
2018-07-24,100,200,-0.0003102573340133602,0.018338429643664167,0,0,1.0010576466855547,0.0
2018-07-25,20,100,-0.0003102573340133602,0.0032544867354520335,1,1,1.0033112599425977,0.0032544867354520335
2018-07-26,20,100,-0.0003102573340133602,-0.0006486402837752037,1,1,1.0026604718422336,-0.0006486402837752037
2018-07-27,50,200,-0.0003102573340133602,0.00043291565991232517,0,0,1.0016578113703913,0.0
2018-07-30,100,200,-0.0003102573340133602,0.008652174012542035,0,0,1.0016578113703913,0.0
2018-07-31,20,100,-0.0003102573340133602,-0.005146856129659483,1,1,0.9955059203013943,-0.005146856129659483
2018-08-01,100,200,-0.0003102573340133602,-0.0045270440893105945,0,0,0.9945104143810929,0.0
2018-08-02,50,200,-0.0003102573340133602,0.00952804331053736,1,1,1.0029821665294143,0.00952804331053736
2018-08-03,100,200,-0.0003102573340133602,0.0006436626716601612,0,0,1.001979184362885,0.0
2018-08-06,20,100,-0.0003102573340133602,-0.0032155215895993683,1,1,0.9977585413645735,-0.0032155215895993683
2018-08-07,100,200,-0.0003102573340133602,-0.007526811441175285,0,0,0.996760782823209,0.0
2018-08-08,20,100,-0.0003102573340133602,0.004333638817583196,1,1,1.0000793036594529,0.004333638817583196
2018-08-09,20,100,-0.0003102573340133602,-0.0058252564177319055,1,1,0.9942535852775698,-0.0058252564177319055
2018-08-10,100,200,-0.0003102573340133602,-0.00542535619064799,0,0,0.9932593316922922,0.0
2018-08-13,20,100,-0.0003102573340133602,0.001309095960952078,1,1,0.993565043868117,0.001309095960952078
2018-08-14,20,100,-0.0003102573340133602,0.004140435056389169,1,1,0.9976788354065513,0.004140435056389169
2018-08-15,100,200,-0.0003102573340133602,0.003038437407250072,0,0,0.9966811565711448,0.0
2018-08-16,50,200,-0.0003102573340133602,0.008221327654210242,1,1,1.0038703237271673,0.008221327654210242
2018-08-17,50,100,-0.0003102573340133602,0.0027895761571732347,1,1,1.0066706964471304,0.0027895761571732347
2018-08-20,100,200,-0.0003102573340133602,-0.010913420914436811,0,0,1.0056640257506833,0.0
2018-08-21,20,100,-0.0003102573340133602,-0.006274565375515184,1,1,0.9983545671542314,-0.006274565375515184
2018-08-22,20,100,-0.0003102573340133602,-0.0050075196031090785,1,1,0.9933552870883532,-0.0050075196031090785
2018-08-23,50,200,-0.0003102573340133602,-0.0015317983641104371,1,1,0.9918336670846108,-0.0015317983641104371
2018-08-24,50,100,-0.0003102573340133602,0.001314939150471428,1,1,0.993137868004216,0.001314939150471428
2018-08-27,20,200,-0.0003102573340133602,-0.00700400973400106,1,1,0.9861819207095094,-0.00700400973400106
2018-08-28,100,200,-0.0003102573340133602,-0.0008812260170905084,0,0,0.9851957387887998,0.0
2018-08-29,20,100,-0.0003102573340133602,-0.00838316835643027,1,1,0.9759597403694492,-0.00838316835643027
2018-08-30,20,100,-0.0003102573340133602,-0.008453826030273892,1,1,0.9677091465118146,-0.008453826030273892
2018-08-31,100,200,-0.0003102573340133602,0.004262951263494186,0,0,0.9667414373653028,0.0
2018-09-04,50,100,-0.0003102573340133602,0.013851487208974556,1,1,0.9791521117753347,0.013851487208974556
2018-09-05,20,200,-0.0003102573340133602,0.008594245656541988,1,1,0.9875671855590538,0.008594245656541988
2018-09-06,100,200,-0.0003102573340133602,-0.001092693620056151,0,0,0.9865796183734947,0.0
2018-09-07,100,200,-0.0003102573340133602,0.007436866832909672,0,0,0.9865796183734947,0.0
2018-09-10,10,100,-0.0003102573340133602,-0.0008685466767881511,1,1,0.984737005196645,-0.0008685466767881511
2018-09-11,20,200,-0.0003102573340133602,0.004780584654771269,1,1,0.9894446238126735,0.004780584654771269
