Date,ret_1d,ret_5d,ret_20d,ret_60d,momentum_1m,momentum_3m,price_over_ma200,ma_ratio_5_20,ma_ratio_10_50,ma_ratio_20_200,vol_20d,volume_20d_avg,volume_ratio,spy_ret_5d,spy_ret_20d,spy_vol_20d,spy_ma_ratio_20_50,spy_autocorr_1d
2012-08-14,-0.05648153446093884,-0.016409289922123538,-0.2744749152098409,-0.4669108445144017,-0.27858412718684766,,,0.8811691022830681,0.7601745001509729,,0.04509832274425033,36906705.0,1.0650855989446903,0.003349400058711982,0.03248765324713454,0.008598296038302712,1.0194454923393352,0.2657147860813965
2012-08-15,0.04023551716965068,0.023165990981123707,-0.2717279359072352,-0.37702026470930916,-0.2452830382037542,,,0.9000403265425394,0.763912597989915,,0.045340793495655535,38457670.0,1.244513773195308,0.0032742767806230866,0.02606147983923912,0.008490390414889533,1.0188798997386272,0.26348480612211245
2012-08-16,-0.06273569597725315,-0.05425966860921827,-0.3148274507740785,-0.3590321956785677,-0.3174165907088855,,,0.9079574231461387,0.76716008528822,,0.04649374402701037,45651680.0,3.4514677225460266,0.009813965847302875,0.03093014138926864,0.008594717131913263,1.0188427937501556,0.28245536656480286
2012-08-17,-0.04126842226449556,-0.1265475383253809,-0.3376216966387001,-0.4046875265189086,-0.34310344085957467,-0.5017002894372424,,0.9030403604785826,0.7637641203904363,,0.04672759706265139,51522895.0,2.509435853711248,0.009514371492215457,0.041840817553632004,0.008218767901675668,1.0193216470063062,0.19307688226845982
2012-08-20,0.050393835002335186,-0.07361107310410908,-0.3039999460647529,-0.3941870173544677,-0.3042419137099841,-0.4119893486461865,,0.9064959181539244,0.7607157237296718,,0.049127764231901926,55962690.0,1.8081082235325,0.010087763121123139,0.052557698646790385,0.0077240379750510525,1.0204632973307166,0.08526658681167759
2012-08-21,-0.04247872246762785,-0.0598624815822707,-0.32653778454550497,-0.3995611854704061,-0.3335651391933223,-0.38193543530418583,,0.9146515963639276,0.759359936264311,,0.0494314280457346,58917730.0,1.1989701572005576,0.0068893977782709115,0.05846303024785149,0.0073933798423075105,1.0216817082374179,0.07389351700358793
2012-08-22,0.014613656587283419,-0.08301884572054996,-0.3374232855961473,-0.3259362100594204,-0.31669603900434184,-0.39249999835076754,,0.919400492765238,0.7590947609145061,,0.048684801833662514,60550830.0,0.8239721899765866,0.00617217282987359,0.058674025470400126,0.007389757175453669,1.0231228362008586,0.13764651703462158
2012-08-23,0.0,-0.021640800419093442,-0.27597764915909884,-0.31039387160312526,-0.3374232855961473,-0.4114441062266103,,0.9316159502024111,0.7576644577786457,,0.04630190395925437,58961645.0,0.5565261959702786,-0.00936699445372291,0.03297327507734282,0.007048820645308393,1.0233768623815498,-0.11765927519156939
2012-08-24,-0.0015432817833320733,0.01889761257048317,-0.1813581141759355,-0.34425679051022373,-0.27709501966387684,-0.39172676680824314,,0.9448147268634809,0.7536823198542059,,0.039636433577360776,54287640.0,0.545652748949853,-0.00471258816595943,0.020406542035921182,0.005955603701372329,1.023106063975268,-0.1827568937130595
2012-08-27,-0.013395090151065658,-0.04297859174586538,-0.17278611730411142,-0.3091630159555886,-0.19232389603798727,-0.33599169114570415,,0.9456449819820192,0.7505864402973322,,0.03950646925077314,53858545.0,0.38441439515308107,-0.0045717485681441294,0.020622881042901442,0.005953867338730976,1.02304474189512,-0.20940030941937018
2012-08-28,0.009921632293107274,0.00939440766713151,-0.10916632972536511,-0.2810409292700681,-0.16457880533224922,-0.3139412573667584,,0.9529341879569395,0.7535531313187148,,0.03761134343762166,52320425.0,0.4857949835078748,-0.0025391199845116175,0.026795231396899766,0.005672239733040149,1.0233450315097443,-0.2481074439488867
2012-08-29,-0.01240939810693098,-0.0174896384023554,-0.08524897057102898,-0.2616930868390228,-0.12022103938686157,-0.3547296681805784,,0.9537654868140526,0.7528956228685857,,0.03684920250143889,50896440.0,0.31681390682727517,-0.00218616576563313,0.028490253212651195,0.005650367974872452,1.0239054243759549,-0.2955883847530171
2012-08-30,-0.0005236850426327821,-0.018004164382955823,-0.04740528911190367,-0.28795223835810335,-0.08572801200287383,-0.3113275498888206,,0.9525414164028262,0.7572218147907247,,0.03583874212980282,49610090.0,0.6177674743182284,-0.0012081615095763665,0.028176692682170712,0.005674202548438698,1.0245585439800264,-0.0021582419201348923
2012-08-31,-0.05395495376399806,-0.06955176047171474,-0.14367011456766687,-0.31356901220773725,-0.0988024926937,-0.32862457753787433,,0.9462644614559547,0.7615681544650498,,0.035257728583203925,48515950.0,1.211234655819375,-0.002472979987241164,0.01298895676301326,0.003784417733938449,1.0239187693665381,-0.24045186953086659
2012-09-04,-0.01827242754388203,-0.07415148417613693,-0.19114969558692974,-0.3457565398519512,-0.1593173403528899,-0.3146502693203306,,0.9419364334117664,0.7617825149381275,,0.033573528628194,49458125.0,0.9426641224268004,-0.0036031769789256485,0.010098716737003244,0.0037873065088629243,1.0233062318721053,-0.2891035957039029
2012-09-05,0.04794152233134796,-0.03929664233680963,-0.10328175610133838,-0.31210648891230763,-0.1523721806551931,-0.30697487673441726,,0.939337813528028,0.7677585138728431,,0.034217891189257735,50658070.0,1.199844368330653,-0.0034654512014735683,0.004204573344910756,0.0036445459707857364,1.0220992954810002,-0.3122534115328558
2012-09-06,0.020452016755929003,-0.00732988249138633,-0.0849420595517757,-0.3080291373670161,-0.0849420595517757,-0.27936142392334884,,0.9421238962360015,0.7746958340452136,,0.034673834128102377,51484525.0,0.8947640091852843,0.015970749628705372,0.0233464915991084,0.005787445702613817,1.0215428811431466,-0.24907129037298187
