Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,MA_100,MA_200,Signal_5_20_short,Signal_10_50_medium,Signal_20_100_long,Signal_50_200_vlong,Combined_Signal,Buy,Signal_combined,Return,Position,Trade,StratRetGross,StratRetNet,Equity,BH_Equity
2010-06-29,1.2666670083999634,1.6666669845581057,1.1693329811096191,1.5926669836044312,281494500,,,,,,,,,,,NANANANA,,0,0.0,0.0,1,0.0,-0.001,0.999,1.0
2010-06-30,1.7193330526351929,2.0280001163482666,1.553333044052124,1.5886670351028442,257806500,,,,,,,,,,,NANANANA,,0,-0.0025114782580187844,0.0,0,-0.0,-0.0,0.999,0.9974885217419812
2010-07-01,1.6666669845581057,1.7280000448226929,1.3513330221176147,1.4639999866485596,123282000,,,,,,,,,,,NANANANA,,0,-0.07847273575876412,0.0,0,-0.0,-0.0,0.999,0.9192128685529225
2010-07-02,1.5333329439163208,1.5399999618530271,1.24733304977417,1.2799999713897705,77097000,,,,,,,,,,,NANANANA,,0,-0.12568307167816883,0.0,0,-0.0,-0.0,0.999,0.8036833717070904
2010-07-06,1.3333330154418943,1.3333330154418943,1.0553330183029177,1.0740000009536743,103003500,1.399866795539856,,,,,,,,,,NANANANA,,0,-0.1609374805004331,0.0,0,-0.0,-0.0,0.999,0.6743405947444582
2010-07-07,1.0933330059051514,1.108667016029358,0.9986670017242432,1.053333044052124,103825500,1.2920000076293945,,,,,,,,,,NANANANA,,0,-0.01924297661377916,0.0,0,-0.0,-0.0,0.999,0.6613642744500686
2010-07-08,1.0759999752044678,1.1679999828338623,1.037999987602234,1.1640000343322754,115671000,1.2070666074752807,,,,,,,,,,NANANANA,,0,0.10506362722128282,0.0,0,0.0,0.0,0.999,0.7308496040383649
2010-07-09,1.1720000505447388,1.1933330297470093,1.1033329963684082,1.159999966621399,60759000,1.1462666034698483,,,,,,,,,,NANANANA,,0,-0.0034364841863351314,0.0,0,-0.0,-0.0,0.999,0.7283380509314977
2010-07-12,1.196666955947876,1.2046669721603394,1.1333329677581787,1.136667013168335,33037500,1.1176000118255616,,,,,,,,,,NANANANA,,0,-0.02011461562453598,0.0,0,-0.0,-0.0,0.999,0.713687810992287
2010-07-13,1.1593329906463623,1.2426669597625732,1.126667022705078,1.2093329429626465,40201500,1.144666600227356,1.272266697883606,,,,,,,,,NANANANA,,0,0.0639289510054164,0.0,0,0.0,0.0,0.999,0.7593131240943758
2010-07-14,1.1959999799728394,1.3433330059051514,1.184000015258789,1.3226670026779177,62928000,1.1985333919525147,1.2452666997909545,,,,,,,,,NANANANA,,0,0.09371617665324106,0.0,0,0.0,0.0,0.999,0.8304730469671286
2010-07-15,1.329332947731018,1.4333330392837524,1.2666670083999634,1.3259999752044678,56097000,1.230933380126953,1.218999993801117,,,,,,,,,NANANANA,,0,0.0025198878627819,0.0,0,0.0,0.0,0.999,0.8325657459185486
2010-07-16,1.3799999952316284,1.4199999570846558,1.3366669416427612,1.3760000467300415,39319500,1.2741333961486816,1.2101999998092652,,,,,,,,,NANANANA,,0,0.037707445294532294,0.0,0,0.0,0.0,0.999,0.8639596732368737
2010-07-19,1.4246670007705688,1.4833329916000366,1.3946670293807983,1.4606670141220093,37297500,1.3389333963394163,1.228266704082489,,,,,,,,,NANANANA,,0,0.061531224212653335,0.0,0,0.0,0.0,0.999,0.9171201696015026
2010-07-20,1.4566669464111328,1.4566669464111328,1.3366669416427612,1.3533329963684082,27379500,1.367733407020569,1.2562000036239624,,,,,,,,,NANANANA,,0,-0.07348287920236107,0.0,0,-0.0,-0.0,0.999,0.8497275389646265
2010-07-21,1.3773330450057983,1.3933329582214355,1.2999999523162842,1.3480000495910645,18787500,1.3728000164031982,1.2856667041778564,,,,,,,,,NANANANA,,0,-0.0039406020481688175,0.0,0,-0.0,-0.0,0.999,0.846379100884197
2010-07-22,1.3666670322418213,1.4166669845581057,1.3580000400543213,1.399999976158142,14367000,1.387600016593933,1.309266698360443,,,,,,,,,NANANANA,,0,0.03857561176118107,0.0,0,0.0,0.0,0.999,0.8790286924826832
2010-07-23,1.4126670360565186,1.4373329877853394,1.4040000438690186,1.4193329811096191,9804000,1.3962666034698483,1.3351999998092652,,,,,,,,,NANANANA,,0,0.01380928948622584,0.0,0,0.0,0.0,0.999,0.8911674541638752
2010-07-26,1.4333330392837524,1.4333330392837524,1.3533329963684082,1.3966670036315918,13833000,1.3834666013717651,1.3611999988555907,,,,,,,,,NANANANA,,0,-0.015969457329390924,0.0,0,-0.0,-0.0,0.999,0.8769359935312633
2010-07-27,1.3940000534057615,1.4119999408721924,1.3506669998168943,1.3700000047683716,9295500,1.3868000030517578,1.377266705036163,1.3247667014598847,,,,1.0,,,,1NANANA,,1,-0.019093312001988383,0.0,0,-0.0,-0.0,0.999,0.8601923810009972
