Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,MA_100,MA_200,Signal_5_20_short,Signal_10_50_medium,Signal_20_100_long,Signal_50_200_vlong,Combined_Signal,Buy,Signal_combined,Return,Position,Trade,StratRetGross,StratRetNet,Equity,BH_Equity
2000-01-03,23.644017623642743,23.802702305680615,23.24730591854807,23.405990600585938,4642400,,,,,,,,,,,NANANANA,,0,0.0,0.0,1,0.0,-0.001,0.999,1.0
2000-01-04,23.136222654123863,23.24730191240841,22.533220966293477,22.549089431762695,7822200,,,,,,,,,,,NANANANA,,0,-0.03661033550965331,0.0,0,-0.0,-0.0,0.999,0.9633896644903467
2000-01-05,22.549080579061695,23.056871274719665,22.453869823625823,22.787107467651367,8229600,,,,,,,,,,,NANANANA,,0,0.010555549775477902,0.0,0,0.0,0.0,0.999,0.9735587720470555
2000-01-06,22.929925603048773,23.850296319295712,22.88232022117393,23.501190185546875,5356400,,,,,,,,,,,NANANANA,,0,0.03133713741023181,0.0,0,0.0,0.0,0.999,1.0040673170636307
2000-01-07,23.89790813910529,24.611989059596485,23.770960419906856,24.50090980529785,9863800,23.348857498168947,,,,,,,,,,NANANANA,,0,0.04253910597114352,0.0,0,0.0,0.0,0.999,1.0467794430663622
2000-01-10,24.548503795889925,24.611977626002115,23.88202857971192,23.88202857971191,4928600,23.44406509399414,,,,,,,,,,NANANANA,,0,-0.025259520177169925,0.0,0,-0.0,-0.0,0.999,1.0203382966031807
2000-01-11,23.612270047017283,24.104192339663474,23.59640158596418,23.961376190185547,6153000,23.72652244567871,,,,,,,,,,NANANANA,,0,0.0033224820165000946,0.0,0,0.0,0.0,0.999,1.023728352244391
2000-01-12,23.834436184582227,24.13593704177734,23.659883056732426,23.73922538757324,5163200,23.916946029663087,,,,,,,,,,NANANANA,,0,-0.009271203826068275,0.0,0,-0.0,-0.0,0.999,1.0142371580282081
2000-01-13,23.850301374872046,24.373960686495984,23.62814287903159,23.70748519897461,4659200,23.958205032348634,,,,,,,,,,NANANANA,,0,-0.00133703556373177,0.0,0,-0.0,-0.0,0.999,1.0128810868778662
2000-01-14,23.850297117328704,23.961376345420057,23.564664816522377,23.78682327270508,5404800,23.81538772583008,23.582122611999512,,,,,,,,,NANANANA,,0,0.0033465411056716743,0.0,0,0.0,0.0,0.999,1.0162707350702604
2000-01-18,23.358371867781056,23.62813567331929,23.12034498054144,23.183818817138672,4870000,23.67574577331543,23.559905433654784,,,,,,,,,NANANANA,,0,-0.02535035673545971,0.0,0,-0.0,-0.0,0.999,0.9905079093964215
2000-01-19,23.104479905527903,23.374243750578707,23.00926913668644,23.263164520263672,5507400,23.536103439331058,23.631312942504884,,,,,,,,,NANANANA,,0,0.0034224604561843286,0.0,0,0.0,0.0,0.999,0.9938978835478686
