Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,MA_50,MA_100,MA_200,Signal_5_20_short,Signal_10_50_medium,Signal_20_100_long,Signal_50_200_vlong,Combined_Signal,Buy,Signal_combined,Return,Position,Trade,StratRetGross,StratRetNet,Equity,BH_Equity
2000-01-03,23.605970368743503,23.80334531030528,22.7769981440065,23.01384735107422,12019200,,,,,,,,,,,NANANANA,,0,0.0,0.0,1,0.0,-0.001,0.999,1.0
2000-01-04,22.42948360520134,22.60812551484606,21.972954886300226,22.508880615234375,11723400,,,,,,,,,,,NANANANA,,0,-0.021941865179542552,0.0,0,-0.0,-0.0,0.999,0.9780581348204574
2000-01-05,22.31038488245433,23.044802092349663,21.91340354001208,22.369932174682617,8714550,,,,,,,,,,,NANANANA,,0,-0.006173049780970219,0.0,0,-0.0,-0.0,0.999,0.9720205332655278
2000-01-06,22.270691759004368,23.16390132153128,22.151597150667445,22.687522888183594,8369250,,,,,,,,,,,NANANANA,,0,0.014197213966540945,0.0,0,0.0,0.0,0.999,0.9858205167561698
2000-01-07,23.06465535584946,23.34254215673073,22.548577532047837,23.104352951049805,6571950,22.73690719604492,,,,,,,,,,NANANANA,,0,0.018372656412098287,0.0,0,0.0,0.0,0.999,1.003932658394528
2000-01-10,23.104357970061457,23.302849623660823,22.70737648010254,22.70737648010254,4723500,22.675613021850587,,,,,,,,,,NANANANA,,0,-0.017181890866553307,0.0,0,-0.0,-0.0,0.999,0.9866831970206246
2000-01-11,22.230996972952756,22.369939488754635,21.675221458026023,22.171449661254883,8405550,22.608126831054687,,,,,,,,,,NANANANA,,0,-0.023601441554345293,0.0,0,-0.0,-0.0,0.999,0.9633960512134877
2000-01-12,22.13175233512031,22.508885950621636,22.072205017790623,22.310394287109375,7271850,22.59621925354004,,,,,,,,,,NANANANA,,0,0.006266826390576519,0.0,0,0.0,0.0,0.999,0.9694334870118096
2000-01-13,22.58827223005095,23.02495113783304,22.409630363074907,22.64781951904297,6918900,22.588278579711915,,,,,,,,,,NANANANA,,0,0.01512412679002062,0.0,0,0.0,0.0,0.999,0.9840953219838681
2000-01-14,23.48148911275433,24.05711248562421,23.12420526395793,23.461639404296875,9731850,22.659735870361327,22.698321533203124,,,,,,,,,NANANANA,,0,0.035933697041766965,0.0,0,0.0,0.0,0.999,1.0194575051442565
2000-01-18,23.481483253762622,23.660125133586927,22.31038527453277,22.548574447631836,5296650,22.627975463867188,22.651794242858887,,,,,,,,,NANANANA,,0,-0.03891735530202611,0.0,0,-0.0,-0.0,0.999,0.9797829152012404
2000-01-19,22.94555980162527,23.93801417839953,22.94555980162527,23.541032791137695,15734700,22.90189208984375,22.75500946044922,,,,,,,,,NANANANA,,0,0.04401423894050627,0.0,0,0.0,0.0,0.999,1.0229073145407335
2000-01-20,23.93802381105061,24.136515493174173,23.104361290267754,23.52119255065918,7770300,23.14405174255371,22.87013549804687,,,,,,,,,NANANANA,,0,-0.0008427939697694953,0.0,0,-0.0,-0.0,0.999,1.0220452144244054
2000-01-21,23.461650407099786,23.501348025392044,23.064668772455754,23.16391372680664,5160600,23.247270584106445,22.91777458190918,,,,,,,,,NANANANA,,0,-0.01518965601268063,0.0,0,-0.0,-0.0,0.999,1.0065206991878923
2000-01-24,23.620433041711387,23.67998035342767,22.925715010768027,23.183753967285156,6459150,23.1916934967041,22.92571468353271,,,,,,,,,NANANANA,,0,0.0008565150394062027,0.0,0,0.0,0.0,0.999,1.0073827993042204
2000-01-25,23.18376235578115,24.05712263787811,23.18376235578115,23.699838638305664,7579950,23.421946334838868,23.024960899353022,,,,,,,,,NANANANA,,0,0.02226061714374472,0.0,0,0.0,0.0,0.999,1.0298077621167254
2000-01-26,23.938007784827295,25.089255862812376,23.818913218733627,24.910614013671875,8386650,23.695862579345704,23.298877334594728,,,,,,,,,NANANANA,,0,0.051087916413458334,0.0,0,0.0,0.0,0.999,1.0824184949896754
2000-01-27,25.228196225134543,25.883216284472912,24.950309532979656,25.625179290771484,8165850,24.116659927368165,23.630355834960938,,,,,,,,,NANANANA,,0,0.028685173183905732,0.0,0,0.0,0.0,0.999,1.1134678569759169
2000-01-28,25.267916101391496,25.267916101391496,24.335006776547445,24.354856491088867,7500000,24.35484848022461,23.801059532165528,,,,,,,,,NANANANA,,0,-0.04957322582090595,0.0,0,-0.0,-0.0,0.999,1.0582696634577295
2000-01-31,24.394534331431167,25.883216284472912,24.394534331431167,25.625179290771484,7160250,24.843133544921876,24.017413520812987,23.357867527008057,,,,1.0,,,,1NANANA,,1,0.052158911309841294,0.0,0,0.0,0.0,0.999,1.1134678569759169
2000-02-01,26.18096998603408,26.835990478474383,25.82368608106664,26.597801208496097,9651000,25.42272605895996,24.422336196899415,23.53706521987915,,,,1.0,,,,1NANANA,,1,0.037955711711835205,1.0,1,0.037955711711835205,0.036955711711835204,1.0359187560001233,1.1557303219556898
2000-02-02,26.3596150533826,26.73674871449336,25.84353884652587,26.16112518310547,7126200,25.67282829284668,24.68434543609619,23.719677448272705,,,,1.0,,,,1NANANA,,1,-0.016417749045027907,1.0,0,-0.016417749045027907,-0.016417749045027907,1.0189113018330758,1.136755831566092
2000-02-03,26.518405674993907,26.95508478649723,25.48625157852807,26.419158935546875,9200250,25.831624221801757,24.97414207458496,23.92213878631592,,,,1.0,,,,1NANANA,,1,0.009863251317953292,1.0,0,0.009863251317953292,0.009863251317953292,1.0289610800737583,1.1479679400199774
2000-02-04,26.20082820227387,26.458867267588552,25.90309151815712,25.96263885498047,5115150,26.15318069458008,25.254014587402345,24.08589458465576,,,,1.0,,,,1NANANA,,1,-0.017279886982024983,1.0,0,-0.017279886982024983,-0.017279886982024983,1.0111807489011815,1.1281311837574441
